id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,faixa_preco_24h
rocket-pool-eth,reth,Rocket Pool ETH,15961.81,6612429542,17991610.0,16126.03,15738.81,1.13629,2025-07-08 16:15:59.314000+00:00,387.22000000000116
spx6900,spx,SPX6900,7.05,6567610373,318498531.0,7.33,6.73,-0.00397,2025-07-08 16:16:00.163000+00:00,0.5999999999999996
tokenize-xchange,tkx,Tokenize Xchange,79.66,6160777457,12897748.0,93.58,67.61,-8.07057,2025-07-08 16:16:00.551000+00:00,25.97
flare-networks,flr,Flare,0.087427,6076872638,31586541.0,0.090018,0.087009,-2.75616,2025-07-08 16:15:56.192000+00:00,0.003008999999999998
celestia,tia,Celestia,8.6,6049902454,868878386.0,8.94,8.47,-0.35592,2025-07-08 16:15:55.139000+00:00,0.46999999999999886
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),5.46,5842622086,164422472.0,5.49,5.45,0.0677,2025-07-08 16:15:59.357000+00:00,0.040000000000000036
xdce-crowd-sale,xdc,XDC Network,0.353818,5742529700,162020813.0,0.368012,0.353934,-0.61789,2025-07-08 16:16:01.154000+00:00,0.01407799999999998
fartcoin,fartcoin,Fartcoin,5.68,5687729618,1450008561.0,6.49,5.66,-11.21773,2025-07-08 16:15:56.329000+00:00,0.8300000000000001
injective-protocol,inj,Injective,56.24,5499505588,498549662.0,57.96,56.26,-1.3846,2025-07-08 16:15:57.244000+00:00,1.7000000000000028
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),5.47,5457939355,1875278664.0,5.5,5.45,0.10591,2025-07-08 16:15:54.804000+00:00,0.04999999999999982
mantle-staked-ether,meth,Mantle Staked Ether,14989.91,5444846872,4678848.0,15170.5,14729.22,1.30468,2025-07-08 16:15:57.610000+00:00,441.28000000000065
blockstack,stx,Stacks,3.51,5381266002,137937851.0,3.59,3.5,-1.50485,2025-07-08 16:16:02.575000+00:00,0.08999999999999986
solv-btc,solvbtc,Solv Protocol BTC,590607.0,5343090290,8123789.0,607643.0,589173.0,-0.11259,2025-07-08 16:15:59.811000+00:00,18470.0
sonic-3,s,Sonic,1.63,5268800726,296693252.0,1.7,1.62,-2.90081,2025-07-08 16:16:00.556000+00:00,0.07999999999999985
stakewise-v3-oseth,oseth,StakeWise Staked ETH,14703.96,5265848903,5026.53,14881.58,14498.16,0.99517,2025-07-08 16:15:59.835000+00:00,383.4200000000001
syrupusdc,syrupusdc,SyrupUSDC,6.07,5235848985,10915391.0,6.1,6.05,0.04645,2025-07-08 16:16:00.208000+00:00,0.04999999999999982
pudgy-penguins,pengu,Pudgy Penguins,0.082567,5208520519,1145031534.0,0.085019,0.078789,4.24265,2025-07-08 16:15:59.232000+00:00,0.006229999999999999
virtual-protocol,virtual,Virtuals Protocol,7.83,5127825630,715477528.0,8.31,7.83,-4.17136,2025-07-08 16:16:01.603000+00:00,0.4800000000000004
